Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Puerto Rico","PRI","","2388000000","3211000000","3143000000","3193000000","3311000000","3439000000","3825000000","3974000000","3848000000","3282000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Qatar","QAT","","128000000","","4463000000","7220000000","8452000000","10576000000","12131000000","12593000000","15757000000","15239000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Romania","ROU","","394000000","1631000000","2016000000","1904000000","2048000000","2225000000","2097000000","2172000000","3008000000","3261000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Russian Federation","RUS","","3429000000","13239000000","16961000000","17876000000","20198000000","19451000000","13186000000","12822000000","14983000000","18670000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Rwanda","RWA","","27000000","224000000","298000000","337000000","364000000","376000000","427000000","443000000","548000000","528000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Samoa","WSM","","41000000","123700000","134900000","148200000","137200000","147700000","142400000","148700000","167000000","191300000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","San Marino","SMR","","","","","","","","","","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Sao Tome and Principe","STP","","9900000","11100000","15900000","15000000","30900000","56100000","62500000","69100000","65900000","71900000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Saudi Arabia","SAU","","","7536000000","9317000000","8400000000","8690000000","9263000000","11183000000","13438000000","15020000000","16975000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Senegal","SEN","","152000000","464000000","524000000","469000000","495000000","481000000","416000000","438000000","468000000","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Serbia","SRB","","","950000000","1149000000","1080000000","1221000000","1352000000","1322000000","1461000000","1706000000","1921000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Seychelles","SYC","","225000000","352000000","380000000","429000000","484000000","481000000","483000000","505000000","585000000","611000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Sierra Leone","SLE","","10000000","26000000","44000000","47000000","66000000","35000000","37000000","41000000","39000000","39000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Singapore","SGP","","5142000000","14178000000","17929000000","18795000000","19231000000","19161000000","16617000000","18944000000","19891000000","20416000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Sint Maarten (Dutch part)","SXM","","511000000","681000000","729000000","854000000","871000000","922000000","913000000","871000000","646000000","468000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Slovak Republic","SVK","","441000000","2334000000","2515000000","2365000000","2702000000","2642000000","2480000000","2812000000","3024000000","3318000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Slovenia","SVN","","1016000000","2808000000","3048000000","2793000000","2966000000","3052000000","2593000000","2717000000","3057000000","3378000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Solomon Islands","SLB","","4000000","50800000","65900000","65400000","70500000","64800000","60000000","71000000","79000000","92000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Somalia","SOM","","","","","","","","","","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","South Africa","ZAF","","3338000000","10309000000","10706000000","11202000000","10468000000","10484000000","9140000000","8807000000","9706000000","9789000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","South Sudan","SSD","","","","","","","800000","22000000","23500000","26000000","12000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Spain","ESP","","31528000000","58348000000","67809000000","62936000000","68414000000","71656000000","62449000000","66982000000","75906000000","81250000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Sri Lanka","LKA","","388000000","1044000000","1421000000","1756000000","2506000000","3278000000","3978000000","4591000000","5083000000","5608000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","St. Kitts and Nevis","KNA","","58000000","90000000","94000000","95000000","101000000","343000000","317000000","332000000","355000000","367000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","St. Lucia","LCA","","281000000","309000000","321000000","337000000","354000000","778000000","810000000","776000000","875000000","989000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","St. Martin (French part)","MAF","","","","","","","","","","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","St. Vincent and the Grenadines","VCT","","82000000","86000000","92000000","94000000","92000000","178500000","211100000","221300000","216400000","241000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Sudan","SDN","","5000000","82000000","179000000","772000000","773000000","967000000","949000000","1009000000","1029000000","1043000000",""
