,iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,medical_doctors,ghs_score,health_expenditure_5y_avg,GDP growth (annual %),GDP per capita growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Population density (people per sq. km of land area),"Population, total",Surface area (sq. km),Female share of employment in senior and middle management (%),Firms with female participation in ownership (% of firms),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Proportion of seats held by women in national parliaments (%),"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",Women who were first married by age 18 (% of women ages 20-24),overweight_in_percent,stunting_in_percent,underweight_in_percent,"Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","International tourism, expenditures (% of total imports)","International tourism, expenditures (current US$)","International tourism, number of arrivals","International tourism, number of departures","International tourism, receipts (% of total exports)","International tourism, receipts (current US$)",lockdown_date,lockdown_type,di_score,di_electoral_process_and_pluralism,di_functioning_of_government,di_political_participation,di_political_culture,di_civil_liberties,di_regime_type,household_avg_people,household_members_1,household_members_2_3,household_members_4_5,household_members_6_or_more
20,BHR,Asia,Bahrain,2020-06-23,22407.0,65.0,13168.326000000001,1.3869999999999998,43290.705,,151.689,16.52,5.8,37.6,,9.26,39.4,4.659791961312296,1.77672835806486,-3.11062510562859,21890.0,44700.0,34361641288.613,70147180715.3774,2017.27369979138,1569439.0,778.000030517578,,,78.285,76.312,7.5,96.8560028076172,97.3420028686523,,7.5,13.75,6.949999999999998,56.217,72.07300000000001,14.7975308883519,4023000000.0,12045000.0,2868000.0,12.7386670908223,3834000000.0,25/02/2020,Full,2.55,0.83,2.71,2.78,4.38,2.06,Authoritarian,,,,,
21,BHS,North America,Bahamas,2020-06-23,104.0,11.0,264.464,5.2,27717.847,,235.954,13.17,3.1,20.4,,20.07,30.6,5.89216500520706,1.5657599356823901,0.544150188792798,30520.0,34370.0,11771631209.2318,13253841887.3161,38.5254745254745,385640.0,13880.0,,,75.911,71.499,12.8,91.74099731445308,80.6050033569336,,,,,116.81299999999999,193.627,10.4405650141285,536000000.0,1633000.0,,77.246799590927,3383000000.0,20/03/2020,Full,,,,,,,,3.4,17.73,40.33,29.15,12.79
22,BIH,Europe,Bosnia and Herzegovina,2020-06-23,3524.0,170.0,1074.123,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,21.62,42.8,9.292226433753967,3.62354616011993,4.48391430484476,5740.0,14920.0,19077996552.0445,49589065144.2415,64.92048828125,3323929.0,51210.0,26.1200008392334,,79.72,74.752,21.4,78.9000015258789,78.4830017089844,,,,,59.775,115.27799999999999,3.1772911060705202,366000000.0,1053000.0,,12.7259930289803,1081000000.0,11/03/2020,Full,4.86,6.17,2.93,5.56,3.75,5.88,Hybrid regime,,,,,
23,BLR,Europe,Belarus,2020-06-23,59023.0,351.0,6246.269,9.788,17167.967,,443.129,5.18,10.5,46.1,,51.91,35.3,5.79703778028488,3.14919759374963,3.3097921066474103,5700.0,18650.0,54079877293.493,176904789752.775,46.719503788420404,9483499.0,207600.0,,45.5,79.4,69.2,34.5,97.23300170898442,94.4300003051758,,9.7,4.5,1.3,,,2.80366823339873,1159000000.0,11501600.0,836000.0,2.88872380393586,1221000000.0,,None,2.48,0.92,2.0,2.78,4.38,2.35,Authoritarian,2.43,29.65,49.99,18.26,2.09
24,BLZ,North America,Belize,2020-06-23,23.0,2.0,57.843999999999994,2.279,7824.361999999999,,176.957,17.11,,,90.083,11.23,31.8,5.802941843867301,3.03540365708952,1.07136952894078,4470.0,6650.0,1713221353.46156,2546778953.1995397,16.7939938623411,383071.0,22970.0,,,77.666,71.579,9.4,67.69400024414061,66.45400238037111,,9.6,18.766666666666666,5.300000000000002,117.655,213.827,4.43403657873265,50000000.0,489000.0,,45.20635650653689,487000000.0,30/03/2020,Full,,,,,,,,,,,,
25,BMU,North America,Bermuda,2020-06-23,146.0,9.0,2344.515,,50669.315,,139.547,13.0,,,,,,,,,,,,,1184.68516426289,63973.0,4290.0,,,85.57,77.92,,,,,,,,,,16.0281381701015,340000000.0,282000.0,,36.9476958882668,583000000.0,,,,,,,,,,2.26,34.09,48.39,15.81,1.7
26,BOL,South America,Bolivia,2020-06-23,25493.0,820.0,2183.923,4.393,6885.829000000001,7.1,204.299,6.89,,,25.383000000000003,15.9,35.8,6.322618722915652,4.22362493214148,2.7521559420484,3370.0,8640.0,38203746852.0562,98123531985.4687,10.4801458506416,11353142.0,1098580.0,30.440000534057603,,74.209,68.434,53.1,27.753999710082997,34.4020004272461,,,,,138.315,219.19400000000002,8.68694235813675,1081000000.0,1142000.0,1060000.0,9.368913980167509,970000000.0,12/03/2020,Full,4.84,4.75,3.93,5.0,3.75,6.76,Hybrid regime,3.53,20.34,34.82,27.64,17.2
27,BRA,South America,Brazil,2020-06-23,1106470.0,51271.0,5205.462,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,21.64,59.7,8.783406764268875,1.31722399870793,0.526155826049262,9080.0,14530.0,1902286218698.39,3043389014136.97,25.061716243087602,209469333.0,8515770.0,38.720001220703104,,79.362,72.024,10.7,72.96099853515629,63.00199890136721,,6.25,13.133333333333333,3.925,91.421,188.528,8.62714428399348,22229000000.0,6621000.0,10628000.0,2.29983252453008,6324000000.0,,None,6.86,9.58,5.36,6.11,5.0,8.24,Flawed democracy,3.31,12.0,47.27,31.91,8.82
28,BRB,North America,Barbados,2020-06-23,97.0,7.0,337.543,9.472999999999999,16978.068,,170.05,13.57,1.9,14.5,88.469,24.84,31.9,7.060834467411044,-0.49842886553256,-0.640057735871636,15410.0,14140.0,4417327947.214479,4052250190.62518,666.606976744186,286641.0,430.0,,,80.392,77.682,20.0,88.1790008544922,78.5989990234375,,12.2,7.7,3.5,91.939,129.531,,,680000.0,,,1125000000.0,28/03/2020,Full,,,,,,,,,,,,
29,BRN,Asia,Brunei,2020-06-23,141.0,3.0,322.298,2.3819999999999997,71809.25099999999,,201.285,12.79,2.0,30.9,,16.09,32.6,2.224253155291082,0.0522377907767719,-0.99478850862225,29660.0,62820.0,12722801416.9809,26948802801.1531,81.39696394686909,428962.0,5770.0,,,76.96,74.593,9.1,91.5179977416992,90.8259963989258,,,,,98.803,143.719,10.2962198251364,585000000.0,278000.0,,2.6985038850586496,190000000.0,,None,,,,,,,,,,,,
30,BTN,Asia,Bhutan,2020-06-23,69.0,0.0,89.42299999999999,2.977,8708.597,1.5,217.06599999999997,9.75,,,79.807,4.24,40.3,3.4846045076847063,3.02764059455085,1.82227316600887,2970.0,10580.0,2239474150.18651,7978402264.416471,19.7775277714448,754394.0,38393.9990234375,,,71.816,71.123,8.5,15.798999786377001,36.4459991455078,,5.1,44.25,17.8,194.72099999999998,197.28,6.265309933766019,79000000.0,274000.0,,15.5411911787977,121000000.0,06/03/2020,Full,5.3,8.75,6.79,2.78,4.38,3.82,Hybrid regime,,,,,
