iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,gdp_per_capita,cvd_death_rate,diabetes_prevalence,medical_doctors,ghs_score,health_expenditure_5y_avg,GDP per capita growth (annual %),"GNI, Atlas method (current US$)",Population density (people per sq. km of land area),"Population, total",Surface area (sq. km),Proportion of seats held by women in national parliaments (%),"International tourism, expenditures (% of total imports)","International tourism, receipts (% of total exports)",imports,lockdown_date,lockdown_type,household_avg_people,smokers_percentage,wage_and_salaried_workers_percentage_employed
TUR,Asia,Turkey,2020-06-23,188897.0,4974.0,2239.733,25129.341,171.285,12.13,18.49,52.4,4.284106940031052,1.30556428516834,858100673564.328,106.960128893104,82319724.0,785350.0,17.4,2.01651010072454,15.6095018744851,224665791180.514,23/03/2020,Full,4.07,27.735,67.35172489166263
TWN,Asia,Taiwan,2020-06-23,446.0,7.0,18.726,,103.957,,,,,,,,,,,,,,02/02/2020,Full,,,
TZA,Africa,Tanzania,2020-06-23,509.0,21.0,8.521,2683.304,217.288,5.75,0.14,36.4,3.9839930087327935,2.35283922112663,55700775927.9572,63.579078798825904,56318348.0,947300.0,37.2,8.27664312087966,29.365314733999,9117114283.03002,,None,4.85,15.116999999999999,14.177385358810433
UGA,Africa,Uganda,2020-06-23,774.0,0.0,16.921,1697.707,213.333,2.5,1.68,44.3,6.642394885420803,2.27461502218904,26688331084.7713,213.06173449032502,42723139.0,241550.0,34.3,3.86320475774774,18.5356229294938,9165143461.67866,18/03/2020,Full,4.53,10.1165,21.388394680023215
UKR,Europe,Ukraine,2020-06-23,37241.0,1012.0,851.539,7894.393,539.849,7.11,29.92,38.0,6.937526315450666,3.86273257167309,112497730744.996,77.02966735141291,44622516.0,603550.0,12.3,11.7542764744263,3.83698317409318,75355147491.2558,17/03/2020,Full,2.46,30.619500000000002,84.23665996551512
URY,South America,Uruguay,2020-06-23,882.0,25.0,253.906,20551.409,160.708,6.93,50.79,41.3,9.010100215673448,1.2473125475713798,53972904752.5031,19.7080276539824,3449299.0,176220.0,20.2,9.963400418400633,14.874530224251899,10820360880.8863,16/03/2020,Full,2.78,16.9795,72.16646968841553
USA,North America,United States,2020-06-23,2312302.0,120402.0,6985.751,54225.446,151.089,10.79,26.12,83.5,16.7955181002617,2.39109654413916,20636317813893.1,35.7136220923495,326687501.0,9831510.0,19.6,5.960641637946018,10.24045448276,3148464000000.0,02/04/2020,Full,2.49,21.8775,93.78968921661377
UZB,Asia,Uzbekistan,2020-06-23,6500.0,19.0,194.208,6253.104,724.4169999999998,7.57,23.74,34.3,6.1098602414131165,3.31412256339001,66508646229.7207,77.46920545369059,32955400.0,447400.0,16.0,11.6108708806334,9.295983287580473,24221845325.5779,20/03/2020,Partial,5.24,13.116999999999999,56.0177447128296
VAT,Europe,Vatican,2020-06-23,12.0,0.0,14833.127,,,,,,,,,,,,,,,,10/03/2020,Full,,,
VCT,North America,Saint Vincent and the Grenadines,2020-06-23,29.0,0.0,261.386,10727.146,252.675,11.62,6.65,33.0,4.414735585451125,1.80809329953506,808595290.197451,282.589743589744,110210.0,390.0,13.0,10.644125068079301,76.27016850800109,402100000.0,,None,,,75.15630027770993
VEN,South America,Venezuela,2020-06-23,4048.0,35.0,142.355,16745.022,204.85,6.47,19.48,23.0,4.179559778422118,,,32.7307919052208,28870195.0,912050.0,22.2,,,151446288628.624,16/03/2020,Full,4.33,,62.08684038162228
VGB,North America,British Virgin Islands,2020-06-23,8.0,1.0,264.577,,,13.67,,,,,,198.68,29802.0,150.0,,,,,,,,,
VIR,North America,United States Virgin Islands,2020-06-23,76.0,6.0,727.809,,273.67,12.26,,,,,,305.648571428571,106977.0,350.0,,,,3029000000.0,,,,,87.1575680541992
VNM,Asia,Vietnam,2020-06-23,349.0,0.0,3.585,6171.884,245.465,6.0,8.28,49.1,5.792425200343129,6.0180883975449415,225881796340.297,308.12524591221296,95540395.0,331230.0,26.7,2.40608364448114,3.89960829827361,271362707663.061,19/03/2020,Full,3.78,23.674500000000002,43.20701539993286
YEM,Asia,Yemen,2020-06-23,967.0,257.0,32.421,1479.1470000000004,495.003,5.35,5.25,18.5,,-4.968006747196822,,53.9778529083092,28498687.0,527970.0,0.0,,,,,,6.67,18.508,39.480494651794395
ZAF,Africa,South Africa,2020-06-23,101590.0,1991.0,1712.902,12294.876,200.38,5.52,9.05,54.8,8.012191653251648,-0.5720801967122211,332317844014.903,47.630119776768396,57779622.0,1219090.0,42.3,5.82867789187758,8.8935754524209,103147637766.119,26/03/2020,Full,3.36,20.7755,84.72790725708006
ZMB,Africa,Zambia,2020-06-23,1430.0,11.0,77.785,3689.251,234.499,3.94,11.87,28.7,4.380560666322708,0.8151694986741089,24769379600.8785,23.341478900711603,17351822.0,752610.0,18.0,4.6894811701325,7.43292857488829,8075799858.7987,,None,5.13,14.008,21.183910632133486
ZWE,Africa,Zimbabwe,2020-06-23,512.0,6.0,34.448,1899.775,307.846,1.82,2.1,38.2,7.23239406943321,4.6720292590305705,25806087217.628,37.3245909267158,14439018.0,390760.0,31.5,,,7537739100.0,27/03/2020,Full,4.08,16.2955,35.15865986824032
