iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,gdp_per_capita,cvd_death_rate,diabetes_prevalence,medical_doctors,ghs_score,health_expenditure_5y_avg,GDP per capita growth (annual %),"GNI, Atlas method (current US$)",Population density (people per sq. km of land area),"Population, total",Surface area (sq. km),Proportion of seats held by women in national parliaments (%),"International tourism, expenditures (% of total imports)","International tourism, receipts (% of total exports)",imports,lockdown_date,lockdown_type,household_avg_people,smokers_percentage,wage_and_salaried_workers_percentage_employed
ERI,Africa,Eritrea,2020-06-23,143.0,0.0,40.322,1510.4589999999996,311.11,6.05,0.63,22.4,2.8592041134834285,,,,,117600.0,22.0,,,603784852.03252,,None,,5.856000000000001,12.621525094509147
ESH,Africa,Western Sahara,2020-06-23,25.0,1.0,41.853,,,,,,,,,,,,,,,,,,,,
ESP,Europe,Spain,2020-06-22,246504.0,28324.0,5272.273,34272.36,99.403,7.17,38.72,65.9,8.999511450529097,1.90635198039159,1370987721910.85,93.6747673244434,46796540.0,505935.0,39.1,5.798681209314902,16.3031973538393,446769962643.137,14/03/2020,Full,2.69,29.419999999999998,84.35397827148434
EST,Europe,Estonia,2020-06-23,1981.0,69.0,1493.36,29481.252,255.569,4.02,44.83,57.0,6.2891294062137595,4.39718239266693,27929605146.9101,30.411249137336107,1321977.0,45340.0,26.7,7.59774586816587,10.222800351730198,21525548281.2517,13/03/2020,Full,2.3,31.973999999999997,89.3749634552002
ETH,Africa,Ethiopia,2020-06-23,4663.0,75.0,40.561,1729.927,182.634,7.47,0.77,40.6,3.8814739882946014,4.0480702388884,86692450686.6425,109.224559,109224559.0,1104300.0,38.8,3.0744322898584,46.5352282793683,20015260506.4655,16/03/2020,Full,4.61,4.490500000000001,13.035210227966322
FIN,Europe,Finland,2020-06-23,7144.0,327.0,1289.364,40585.721,153.507,5.76,38.12,68.7,9.301035404205322,1.53667022502736,266399244032.195,18.1485472672831,5515525.0,338450.0,42.0,6.65791433871501,5.32031132660423,106134019850.98,27/03/2020,Full,2.07,20.4715,86.90270187377931
FJI,Oceania,Fiji,2020-06-23,18.0,0.0,20.079,8702.975,412.82,14.49,8.6,25.7,3.5440714657306662,2.82031929190161,5178577295.282411,48.3570333880679,883483.0,18270.0,16.0,5.16959434299447,51.3240042282022,,20/03/2020,Full,4.57,22.622999999999998,54.25396348953249
FLK,South America,Falkland Islands,2020-06-23,13.0,0.0,3732.415,,,,,,,,,,,,,,,,,,,,
FRA,Europe,France,2020-06-23,160750.0,29663.0,2462.714,38605.671,86.06,4.77,32.67,68.2,11.4515496790409,1.5548311382972602,2752034676297.63,122.31988259783701,66977107.0,549086.9921875,39.6,6.18840249891611,8.077529005657789,889359807466.665,16/03/2020,Full,2.22,32.8775,88.41675659179685
FRO,Europe,Faeroe Islands,2020-06-23,187.0,0.0,3826.87,,,,,,,,,34.7399698278226,48497.0,1396.00006103516,,,,1268924924.56784,,,,,
