total_cases,total_cases_per_million,gdp_per_capita,health_expenditure_5y_avg,Population density (people per sq. km of land area),lockdown_type,"International tourism, expenditures (% of total imports)",iso_code,location
4988.0,379.81300000000016,1998.9260000000002,4.7029611468315125,50.5222122741332,None,9.93625035529261,GIN,Guinea
41.0,16.965999999999998,1561.767,3.3717564120888706,225.30652173912998,Full,1.6743227707868702,GMB,Gambia
1556.0,790.6510000000003,1548.675,8.049256205558777,66.6539473684211,None,16.2559757349751,GNB,Guinea-Bissau
2001.0,1426.245,22604.873,2.6496435701847085,46.6657397504456,None,0.27515061026352255,GNQ,Equatorial Guinea
3287.0,315.3590000000001,24574.382,8.155658096075053,83.2562141194725,Full,4.55695193033916,GRC,Greece
23.0,204.41,13593.877,4.913025349378588,327.805882352941,None,6.35955589379954,GRD,Grenada
13769.0,768.549,7423.808000000001,5.9789830446243295,160.953779395297,None,5.29295567705829,GTM,Guatemala
205.0,260.629,7435.047,4.959758967161178,3.9573482346964703,None,2.63362399948619,GUY,Guyana
13356.0,1348.463,4541.795,8.076899647712706,85.6870319063366,Partial,4.37791872007706,HND,Honduras
2336.0,569.025,22669.797000000002,6.7240943014621735,73.04937455325229,Partial,5.54541718833406,HRV,Croatia
5211.0,457.004,1653.1729999999998,8.027283251285553,403.59854862118993,None,10.5625286767651,HTI,Haiti
4107.0,425.14,26777.561,7.067919224500656,107.981486799956,Full,2.5722078309251497,HUN,Hungary
46845.0,171.265,11188.743999999999,3.0395406857132903,147.75219008926,Full,5.31866223308219,IDN,Indonesia
440215.0,318.995,6426.674,3.6021219938993485,454.93807257524696,Full,4.0111352655606005,IND,India
25383.0,5140.553,67335.293,8.368094414472573,70.6533459137756,Full,2.17136602578505,IRL,Ireland
32676.0,812.3810000000003,15663.986,3.2384713739156736,88.53057003546171,Full,13.8107461846825,IRQ,Iraq
1823.0,5342.125,46482.958,8.221210539340975,3.5184139650872797,Full,15.9619688394254,ISL,Iceland
21082.0,2435.665,33132.32,7.207121849060058,410.480591497227,Full,9.10212839733564,ISR,Israel
238720.0,3948.276,35220.084,8.93452599644661,205.418372203713,Full,6.21296820625092,ITA,Italy
665.0,224.574,8193.571,5.569961890578271,270.993074792244,Full,6.32732336588992,JAM,Jamaica
1042.0,102.125,8337.49,7.487730979919433,112.14249831043001,Full,6.559185693954589,JOR,Jordan
17968.0,142.066,39002.223,10.854122489690779,347.07345841562415,Full,3.02620828511087,JPN,Japan
18231.0,970.937,24055.588,3.035991750657558,6.76831870207801,Full,6.16962987336707,KAZ,Kazakhstan
4797.0,89.211,2993.028,5.203852504491809,90.29941666373828,Full,0.179594666059938,KEN,Kenya
